ID,Organism,type
21,"gi|499768544|ref|WP_011449278.1| ribulose-bisphosphate carboxylase [Methanospirillum hungatei] >gi|88189023|gb|ABD42020.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Methanospirillum hungatei JF-1]",reference,IIIa
22,"gi|1572540025|emb|VDD89045.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
23,"gi|1572541061|emb|VDS11157.1| RuBisCO long chain, Form III-b [uncultured Candidatus Pacearchaeota archaeon]",Pacearchaeota,IIIb
24,"gi|1572540039|emb|VDD89054.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
25,"gi|1572539973|emb|VDD89004.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
26,gi|488805187|ref|WP_002717593.1| form I ribulose bisphosphate carboxylase large subunit [Afipia felis] >gi|410882158|gb|EKS29998.1| ribulose bisphosphate carboxylase large chain [Afipia felis ATCC 53690] >gi|1443624128|emb|SUU78705.1| Ribulose bisphosphate carboxylase large chain [Afipia felis] >gi|1443636148|emb|SUU86770.1| Ribulose bisphosphate carboxylase large chain [Afipia felis],reference,I
27,"gi|1572540293|emb|VDD89243.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
28,"gi|1572540055|emb|VDD89065.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
29,"gi|1572539518|emb|VDD88815.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
30,"gi|1572539975|emb|VDD89005.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
31,"gi|1572540133|emb|VDD89118.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
32,"gi|1572539548|emb|VDD88843.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
33,"gi|1572539586|emb|VDD88872.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
34,"gi|1572539434|emb|VDD88754.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
35,"gi|1572539398|emb|VDD88724.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
36,"gi|1572540001|emb|VDD89029.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
37,"gi|1572539338|emb|VDD88660.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
38,"gi|1572540115|emb|VDD89109.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
39,"gi|1572539662|emb|VDD88923.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
40,"gi|1572540073|emb|VDD89085.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
41,"gi|1572540127|emb|VDD89115.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
42,"gi|1572540085|emb|VDD89091.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
43,"gi|1572539969|emb|VDD89001.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
44,"gi|1572539985|emb|VDD89010.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
45,"gi|1572540219|emb|VDD89180.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
46,"gi|499681920|ref|WP_011362654.1| ribulose-bisphosphate carboxylase [Chlorobium chlorochromatii] >gi|78171796|gb|ABB28892.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Chlorobium chlorochromatii CaD3]",reference,IV
47,"gi|1572539406|emb|VDD88728.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
48,"gi|1572539624|emb|VDD88895.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
49,"gi|1572540165|emb|VDD89149.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
50,"gi|1572539390|emb|VDD88720.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
51,"gi|1572539935|emb|VDD88971.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
52,"gi|1572540295|emb|VDD89244.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
53,"gi|489273363|ref|WP_003181075.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|218511699|sp|Q65KJ8.2|MTNW_BACLD RecName: Full=2,3-diketo-5-methylthiopentyl-1-phosphate enolase; Short=DK-MTP-1-P enolase; AltName: Full=RuBisCO-like protein; Short=RLP >gi|52003120|gb|AAU23062.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis DSM 13 = ATCC 14580] >gi|765361250|gb|KJE30132.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1036320951|gb|OAZ64243.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1065095598|gb|AOP14661.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1094587900|emb|SEQ79545.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1169579198|gb|ARC62632.1| 2,3-diketo-5-methylthiopentyl-1-phosphateenolase [Bacillus licheniformis] >gi|1169588989|gb|ARC65898.1| 2,3-diketo-5-methylthiopentyl-1-phosphateenolase [Bacillus licheniformis] >gi|1169594773|gb|ARC71911.1| 2,3-diketo-5-methylthiopentyl-1-phosphateenolase [Bacillus licheniformis] >gi|1169595990|gb|ARC73127.1| 2,3-diketo-5-methylthiopentyl-1-phosphateenolase [Bacillus licheniformis] >gi|1201060753|gb|ARW42264.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1201072134|gb|ARW53631.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1334852988|dbj|GBC66445.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1352839593|gb|AVI49187.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1405846660|gb|PZW88014.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus sp. AG442] >gi|1411441791|emb|SPU01943.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1527123824|gb|RRD99954.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1540081894|emb|VEH77737.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1560243646|gb|RWZ53520.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1560700549|gb|QAS15810.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1561302583|gb|QAT52841.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1564098700|gb|QAW37203.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1564104105|gb|QAW28581.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1596204319|gb|TDO65943.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1604727737|gb|QBR19690.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis]",reference,IV
54,TARA_037.SAMEA2619974.600.0.1-0.22_8582_9 /annotation=rbcL; ribulose bisophosphate carboxylase (EC:4.1.1.39) /ngenes=16,Pacearchaeota,IIIb
55,"gi|499709017|ref|WP_011389751.1| ribulose-bisphosphate carboxylase [Rhodospirillum rubrum] >gi|83593333|ref|YP_427085.1| ribulose 1,5-bisphosphate carboxylase large subunit [Rhodospirillum rubrum ATCC 11170] >gi|123725951|sp|Q2RSU7.1|RLP_RHORT RecName: Full=5-methylthioribulose-1-phosphate isomerase >gi|83576247|gb|ABC22798.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Rhodospirillum rubrum ATCC 11170] >gi|346718504|gb|AEO48519.1| ribulose 1,5-bisphosphate carboxylase large subunit [Rhodospirillum rubrum F11]",reference,IV
56,ABA56859_Nitrosococcus_oceani_ATCC_19707_I_REF,reference,I
57,ABA56859_Nitrosococcus_oceani_ATCC_19707_I_REF,reference,I
58,Alkalilimnicola_ehrlichii_YP_74366_REF,reference,I
59,Alkalilimnicola_ehrlichii_YP_74366_REF,reference,I
60,Burkholderia_xenovorans_YP_55288_REF,reference,I
61,Burkholderia_xenovorans_YP_55288_REF,reference,I
62,Q59613_Nitrobacter_vulgaris_I_REF,reference,I
63,Q59613_Nitrobacter_vulgaris_I_REF,reference,I
64,"gi|132051|sp|P00875.1|RBL_SPIOL RecName: Full=Ribulose bisphosphate carboxylase large chain; Short=RuBisCO large subunit; Flags: Precursor >gi|12291|emb|CAA23473.1| ribulose 1,5-bisphophate carboxylase [Spinacia oleracea]",reference,I
65,Stappia_aggregata_ZP_0154896_REF,reference,I
66,Stappia_aggregata_ZP_0154896_REF,reference,I
67,Thiorhodovibrio_sp_970_ZP_0894247_REF,reference,I
68,Thiorhodovibrio_sp_970_ZP_0894247_REF,reference,I
69,YP_411385_Nitrosospira_multiformis_ATCC_251966_I_REF,reference,I
70,YP_411385_Nitrosospira_multiformis_ATCC_251966_I_REF,reference,I
71,"gi|2978568|gb|AAC38280.1| ribulose-1,5-bisphosphate carboxylase/oxygenase [endosymbiont of Riftia pachyptila]",reference,II
72,RBC_48 gi|1710033|sp|P50922.1|RBL2_RHOCA,reference,II
73,RBC_48 gi|1710033|sp|P50922.1|RBL2_RHOCA,reference,II
74,Thiobacillus_denitrificans_AAA9917_REF,reference,II
75,Thiobacillus_denitrificans_AAA9917_REF,reference,II
76,CG02_land_8_20_14_3.00_150_scaffold_3515_6,SR1,II/III
77,CG02_land_8_20_14_3.00_150_scaffold_3515_6,SR1,II/III
78,OR1_SR1_3_148,SR1,II/III
79,OR1_SR1_3_148,SR1,II/III
80,RBC4_6 gi|503663498|ref|WP_013897574.1|,reference,II/III
81,ncbi_ASMR01000001.1_43,Diapherotrites,IIIb
82,ncbi_ASMR01000001.1_43,Diapherotrites,IIIb
83,CG10_big_fil_rev_8_21_14_0.10_scaffold_63175_3,Micrarchaeota,IIIb
84,CG10_big_fil_rev_8_21_14_0.10_scaffold_63175_3,Micrarchaeota,IIIb
85,RBG_16_scaffold_12677_9,Micrarchaeota,IIIb
86,RBG_16_scaffold_12677_9,Micrarchaeota,IIIb
87,mol321605070610_1,Micrarchaeota,IIIb
88,mol321605070610_1,Micrarchaeota,IIIb
89,CG_201519_scaffold_109081_1,Pacearchaeota,IIIb
90,CG_201519_scaffold_109081_1,Pacearchaeota,IIIb
91,RifSed_csp2_16ft_2_scaffold_361294_1,Pacearchaeota,IIIb
92,RifSed_csp2_16ft_2_scaffold_361294_1,Pacearchaeota,IIIb
93,UBA284contig_56696_5,Pacearchaeota,IIIb
94,UBA284contig_56696_5,Pacearchaeota,IIIb
95,rifcsphigho2_01_scaffold_111818_5,Pacearchaeota,IIIb
96,rifcsphigho2_01_scaffold_111818_5,Pacearchaeota,IIIb
97,rifcsplowo2_01_scaffold_38123_6,Pacearchaeota,IIIb
98,rifcsplowo2_01_scaffold_38123_6,Pacearchaeota,IIIb
99,Ferroglobus_placidus_YP_00343593_REF,reference,IIIb
100,Ferroglobus_placidus_YP_00343593_REF,reference,IIIb
101,Ignisphaera_aggregans_YP_00386030_REF,reference,IIIb
102,Ignisphaera_aggregans_YP_00386030_REF,reference,IIIb
103,WP004977657_Haloferax_gibbonsii_ATCC_3395_REF,reference,IIIb
104,WP004977657_Haloferax_gibbonsii_ATCC_3395_REF,reference,IIIb
105,ZP_09027197_Desulfurococcus_fermentans_DSM_16532_II_REF,reference,IIIb
106,ZP_09027197_Desulfurococcus_fermentans_DSM_16532_II_REF,reference,IIIb
107,CG08_land_8_20_14_0.20_scaffold_141789_1,Kuenenbacteria,IIIc
108,CG08_land_8_20_14_0.20_scaffold_141789_1,Kuenenbacteria,IIIc
109,img_2264877716_46,unknown,IIIc
110,img_2264877716_46,unknown,IIIc
111,UBA3081contig_986_14,Dojkabacteria,IIIlike
112,UBA3081contig_986_14,Dojkabacteria,IIIlike
113,bjp_ig2158_scaffold_0_692,Dojkabacteria,IIIlike
114,bjp_ig2158_scaffold_0_692,Dojkabacteria,IIIlike
115,RBG_13_scaffold_565_33,Gottesmanbacteria,IIIlike
116,RBG_13_scaffold_565_33,Gottesmanbacteria,IIIlike
117,RBCSeed_31 RIFCSPLOWO2_02_FULL_OP11_38_8_rifcsplowo2_02_scaffold_81990_5,Gottesmanbacteria,II/III
118,RBCSeed_26 gi|818320692|gb|KKQ04046.1|,Dojkabacteria,II/III
119,"gwa2_scaffold_913_23 Ribulose bisphosphate carboxylase, type III Tax=GWC2_OD1_39_14 id=5012952 bin=""GWA2_OD1_40_23"" species=GWC2_OD1_39_14 genus=unknown taxon_order=unknown taxon_class=unknown phylum=Parcubacteria organism_tax=GWC2_OD1_39_14, Parcubacteria, Bacteria",Parcubacteria,IIIc
120,"RBG_19FT_COMBO_Archaea_DUSEL1_34_9_rbg_19ft_combo_scaffold_707_32 ribulose bisphosphate carboxylase, type III (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=RBG_13_Pacearchaeota_33_26_curated id=87218159 bin=""Candidatus Pacearchaeota archaeon RBG_19FT_COMBO_34_9"" species=RBG_13_Pacearchaeota_33_26_curated genus=unknown taxon_order=unknown taxon_class=Pacearchaeota phylum=DPANN organism_tax=RBG_13_Pacearchaeota_33_26_curated, Pacearchaeota, DPANN, Archaea",Pacearchaeota,IIIb
121,"RIFCSPHIGHO2_02_FULL_OP11_39_11_rifcsphigho2_02_scaffold_11740_29 ribulose bisphosphate carboxylase, type III; K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=RIFCSPHIGHO2_02_FULL_OP11_Gottesmanbacteria_39_11_curated id=87856221 bin=""Candidatus Gottesmanbacteria bacterium RIFCSPHIGHO2_02_FULL_39_11"" species=RIFCSPHIGHO2_02_FULL_OP11_Gottesmanbacteria_39_11_curated genus=unknown taxon_order=unknown taxon_class=Gottesmanbacteria phylum=Microgenomates organism_tax=RIFCSPHIGHO2_02_FULL_OP11_Gottesmanbacteria_39_11_curated",Gottesmanbacteria,IIIlike
122,"gi|1572540279|emb|VDD89233.1| RuBisCO long chain, Form II/III [uncultured bacterium]",Peregrinibacteria,II/III
123,"gi|1572539584|emb|VDD88871.1| RuBisCO long chain, Form II/III [uncultured bacterium]",Peregrinibacteria,II/III
124,"gi|1572539917|emb|VDD88955.1| RuBisCO long chain, Form II/III [uncultured bacterium]",Peregrinibacteria,II/III
125,"gi|1572539979|emb|VDD89007.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
126,"gi|1572540215|emb|VDD89176.1| RuBisCO long chain, Form III-c [uncultured bacterium]",Parcubacteria,IIIc
127,"gi|1572540057|emb|VDD89073.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
128,"gi|1572540125|emb|VDD89114.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
129,"gi|1572541033|emb|VDS11143.1| RuBisCO long chain, Form III-b [uncultured Candidatus Woesearchaeota archaeon] >gi|1572541045|emb|VDS11149.1| RuBisCO long chain [uncultured Candidatus Woesearchaeota archaeon] >gi|1572541107|emb|VDS11180.1| RuBisCO long chain [uncultured Candidatus Woesearchaeota archaeon] >gi|1572541119|emb|VDS11186.1| RuBisCO long chain [uncultured Candidatus Woesearchaeota archaeon]",Woesearchaeota,IIIb
130,"gi|1572539943|emb|VDD88977.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
131,"gi|1572540287|emb|VDD89238.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
132,"gi|1572539546|emb|VDD88842.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
133,"gi|1572539612|emb|VDD88889.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
134,"gi|1572539360|emb|VDD88693.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
135,"gi|1572540173|emb|VDD89153.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
136,"gi|1572539430|emb|VDD88752.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
137,"gi|1572540031|emb|VDD89050.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
138,"gi|1572539578|emb|VDD88868.1| RuBisCO long chain, Form III-b [uncultured bacterium]",Amesbacteria,IIIb
139,"gi|1572539957|emb|VDD88990.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
140,"gi|1572539955|emb|VDD88985.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
141,"gi|851165346|ref|WP_048093891.1| type III ribulose-bisphosphate carboxylase [Candidatus Methanoperedens nitroreducens] >gi|630828655|gb|KCZ70371.1| ribulose bisphosphate carboxylase, type III [Candidatus Methanoperedens nitroreducens]",reference,IIIb
142,"gi|1572539939|emb|VDD88973.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
143,"gi|1572539514|emb|VDD88813.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
144,"gi|1572541055|emb|VDS11154.1| RuBisCO long chain, Form III-b [uncultured Candidatus Pacearchaeota archaeon] >gi|1572541095|emb|VDS11174.1| RuBisCO long chain, Form III-b [uncultured Candidatus Pacearchaeota archaeon]",Pacearchaeota,IIIb
145,"gi|1572539358|emb|VDD88685.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
146,"gi|1572540061|emb|VDD89075.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
147,"gi|1572539474|emb|VDD88778.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
148,"gi|1572540281|emb|VDD89234.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
149,"gi|1572540109|emb|VDD89106.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
150,"gi|1572540015|emb|VDD89036.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
151,"gi|1572540065|emb|VDD89077.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
152,"gi|1572540069|emb|VDD89081.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
153,"gi|1572539616|emb|VDD88891.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Aenigmarchaeota,IIIb
154,"gi|1572541051|emb|VDS11152.1| RuBisCO long chain, Form III-b [uncultured Candidatus Woesearchaeota archaeon]",Woesearchaeota,IIIb
155,"gi|1572539686|emb|VDD88945.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
156,"gi|1572539572|emb|VDD88862.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
157,"gi|1572539524|emb|VDD88823.1| RuBisCO long chain, Form III-b [uncultured bacterium]",Levybacteria,IIIb
158,"gi|1572540095|emb|VDD89096.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
159,"gi|1572539626|emb|VDD88896.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
160,"gi|1572539370|emb|VDD88704.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
161,"gi|1572539336|emb|VDD88659.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
162,"gi|1572540045|emb|VDD89058.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
163,"gi|1572539452|emb|VDD88767.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
164,"gi|1572539582|emb|VDD88870.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
165,"gi|1572539991|emb|VDD89019.1| RuBisCO long chain, Form III-b [uncultured bacterium]",Levybacteria,IIIb
166,"gi|1572539550|emb|VDD88844.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
167,"gi|1572540243|emb|VDD89203.1| RuBisCO long chain, Form IV [uncultured bacterium]",Parcubacteria,IV
168,"gi|499565835|ref|WP_011246618.1| MULTISPECIES: 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus] >gi|81175069|sp|Q5WH45.1|MTNW_BACSK RecName: Full=Putative 2,3-diketo-5-methylthiopentyl-1-phosphate enolase; Short=DK-MTP-1-P enolase; AltName: Full=RuBisCO-like protein; Short=RLP >gi|56909783|dbj|BAD64310.1| ribulose bisphosphate carboxylase [Bacillus clausii KSM-K16] >gi|815856241|gb|KKI85639.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus clausii] >gi|922061924|gb|ALA51049.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus clausii] >gi|1110118938|emb|SHL02333.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus rhizosphaerae] >gi|1237172681|gb|PAD18070.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus clausii] >gi|1237203864|gb|PAD48549.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus clausii] >gi|1237344798|gb|PAE84653.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus clausii] >gi|1237350845|gb|PAE90587.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus clausii]",reference,IV
169,"gi|499821916|ref|WP_011502650.1| ribulose-bisphosphate carboxylase [Rhodopseudomonas palustris] >gi|91683166|gb|ABE39468.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Rhodopseudomonas palustris BisB5]",reference,IV
170,"gi|499948178|ref|WP_011628912.1| ribulose-bisphosphate carboxylase [Alkalilimnicola ehrlichii] >gi|114226718|gb|ABI56517.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Alkalilimnicola ehrlichii MLHE-1]",reference,IV
171,2_Hydrogenovibrio_marinus_BAD1531_REF,reference,I
172,2_Hydrogenovibrio_marinus_BAD1531_REF,reference,I
173,Nitrococcus_mobilis_ZP_0112568_REF,reference,I
174,Nitrococcus_mobilis_ZP_0112568_REF,reference,I
175,"gi|158512861|sp|A2SFV1.1|RBL1A_METPP RecName: Full=Ribulose bisphosphate carboxylase large chain 1; Short=RuBisCO large subunit 1 >gi|124259446|gb|ABM94440.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Methylibium petroleiphilum PM1]",reference,I
176,AAN52766_Rhodopseudomonas_palustris_I_REF,reference,II
177,AAN52766_Rhodopseudomonas_palustris_I_REF,reference,II
178,RBC3_1 WP_012823967.1,reference,II
179,RBC_123 gi|501530536|ref|WP_012537012.1|,reference,II
180,RBC_123 gi|501530536|ref|WP_012537012.1|,reference,II
181,UBA5232contig_5010_25,Dojkabacteria,II/III
182,UBA5232contig_5010_25,Dojkabacteria,II/III
183,bjp_ig2599_sub10_scaffold_1302_18,Micrarchaeota,II/III
184,bjp_ig2599_sub10_scaffold_1302_18,Micrarchaeota,II/III
185,RBC4_4 gi|504865161|ref|WP_015052263.1|,reference,II/III
186,RBCSeed_14 gi|502802415|ref|WP_013037391.1|,reference,II/III
187,CG_201513_scaffold_41721_2,Micrarchaeota,IIIb
188,CG_201513_scaffold_41721_2,Micrarchaeota,IIIb
